iter	Logloss
0	0.6868118384
1	0.6800204609
2	0.6737407444
3	0.6685213966
4	0.6634223432
5	0.6579128047
6	0.652468462
7	0.6478480233
8	0.6430614112
9	0.6394516424
10	0.6346355062
11	0.6317948056
12	0.6265581608
13	0.6209786209
14	0.6170567218
15	0.6116100877
16	0.6071121997
17	0.6027307403
18	0.5976316804
19	0.5929481699
20	0.5890382787
21	0.5843500595
22	0.5804762492
23	0.5763014011
24	0.5726122929
25	0.5694714994
26	0.5659811416
27	0.5629669993
28	0.5588458674
29	0.5570239716
30	0.5535353576
31	0.5515149971
32	0.5488873521
33	0.545027549
34	0.5420010897
35	0.5386077768
36	0.535348823
37	0.531868343
38	0.529330076
39	0.5271047971
40	0.5249913329
41	0.5227272247
42	0.5213872056
43	0.5180698081
44	0.5155812649
45	0.5130535291
46	0.511837774
47	0.5096650782
48	0.5073634836
49	0.5046434313
50	0.5025008552
51	0.4996920723
52	0.4979095518
53	0.495039099
54	0.4924514665
55	0.4898656044
56	0.4881757075
57	0.4854992126
58	0.48351317
59	0.4811362128
60	0.4791526245
61	0.4770635445
62	0.4746730847
63	0.4724896215
64	0.4704467209
65	0.4690135571
66	0.46741936
67	0.4652037518
68	0.4635326945
69	0.4628294875
70	0.4613429563
71	0.4606429904
72	0.4593099508
73	0.4574187441
74	0.4559194948
75	0.4546361679
76	0.4536358882
77	0.4525962056
78	0.4512718578
79	0.4502339459
80	0.4489538742
81	0.4474176489
82	0.445644787
83	0.4442373422
84	0.4430357621
85	0.4416936168
86	0.4403563585
87	0.4391786899
88	0.4380631159
89	0.4370044148
90	0.4362312512
91	0.4349753802
92	0.4335677103
93	0.4324137829
94	0.4313140145
95	0.430506285
96	0.4298648935
97	0.4288257569
98	0.4280090127
99	0.4275625375
100	0.4262716015
101	0.4254114473
102	0.4246209235
103	0.4236483799
104	0.4227660474
105	0.4216845538
106	0.4205242071
107	0.419638998
108	0.418717178
109	0.4175780254
110	0.4170212118
111	0.4163482915
112	0.4154047907
113	0.4144105273
114	0.4136134385
115	0.4126862301
116	0.4120686973
117	0.4111198317
118	0.410279488
119	0.4097335122
120	0.4088085258
121	0.4078542306
122	0.4068864763
123	0.4065981067
124	0.4063155431
125	0.4054143072
126	0.4046137821
127	0.4038955271
128	0.4030748769
129	0.4028919705
130	0.4020416744
131	0.4016443008
132	0.401067141
133	0.4002642176
134	0.3997159282
135	0.3994375926
136	0.398903646
137	0.3983507738
138	0.397800458
139	0.3974447396
140	0.396885052
141	0.396285743
142	0.395690844
143	0.3954111013
144	0.3951326226
145	0.3946949321
146	0.3940456895
147	0.3937145531
148	0.3931313128
149	0.3928652466
150	0.39229492
151	0.3916191049
152	0.3913032404
153	0.3907413071
154	0.3905167622
155	0.3900769063
156	0.3895551326
157	0.3891809066
158	0.3885992947
159	0.3879829984
160	0.387476292
161	0.3871030135
162	0.3870125187
163	0.3863457978
164	0.3859731981
165	0.3856901291
166	0.3854027892
167	0.3850757286
168	0.3845808364
169	0.3841642037
170	0.3838298598
171	0.3835253046
172	0.3829897988
173	0.3825749345
174	0.3821670238
175	0.381719175
176	0.3814331278
177	0.3811614613
178	0.3806994368
179	0.380316866
180	0.3799363096
181	0.3795489077
182	0.3791439429
183	0.3789097836
184	0.3784217056
185	0.3779134219
186	0.3778134103
187	0.3774341333
188	0.3769690384
189	0.3765033609
190	0.3763156469
191	0.375950713
192	0.375574751
193	0.3752111142
194	0.3749771297
195	0.3745798909
196	0.3743236779
197	0.3739057874
198	0.373657096
199	0.3733135231
200	0.373025892
201	0.3727226561
202	0.3724709426
203	0.3720164631
204	0.3719315937
205	0.3716651732
206	0.3715523048
207	0.3713707636
208	0.3710896997
209	0.3707788615
210	0.3702943578
211	0.3699479362
212	0.3695564286
213	0.3690807774
214	0.3687845074
215	0.3683864456
216	0.3680993458
217	0.367830522
218	0.3675881765
219	0.3671982358
220	0.3669077238
221	0.3666044214
222	0.3664226105
223	0.3661883121
224	0.3659013161
225	0.3655155588
226	0.3652582571
227	0.3648920669
228	0.36466262
229	0.3641805305
230	0.3640863283
231	0.3639090825
232	0.3635733592
233	0.3634795183
234	0.3633576613
235	0.3630648722
236	0.3629187112
237	0.3626853334
238	0.3624280806
239	0.3622561967
240	0.3620839121
241	0.3619308119
242	0.3617032224
243	0.3614565271
244	0.3611598789
245	0.3610212577
246	0.3608308765
247	0.3607708306
248	0.3607015881
249	0.3606824567
250	0.3605145115
251	0.3604822116
252	0.3602601716
253	0.3600119602
254	0.3598848752
255	0.3595695536
256	0.359273689
257	0.359147011
258	0.3590406807
259	0.3588212987
260	0.3585401646
261	0.3580656791
262	0.3577497396
263	0.3574764306
264	0.3572538859
265	0.3571444836
266	0.3568759037
267	0.3567411178
268	0.356549529
269	0.3562998664
270	0.3559938204
271	0.3558085409
272	0.355592354
273	0.3554100617
274	0.3553475201
275	0.3553257461
276	0.3552652658
277	0.3549746485
278	0.3547942984
279	0.3546179216
280	0.3545174354
281	0.3541771048
282	0.3538979651
283	0.3536587886
284	0.3533232615
285	0.3531324961
286	0.3531230569
287	0.3530725516
288	0.3529047087
289	0.3528332902
290	0.3526748814
291	0.3524042313
292	0.3521744623
293	0.3520759258
294	0.3518123938
295	0.3516177014
296	0.3515086026
297	0.3513411332
298	0.3511693013
299	0.3509792738
300	0.3508387073
301	0.350588639
302	0.3504188827
303	0.3503233889
304	0.3502101327
